Flight Date,Carrier,Flight Number,Origin,Origin City,Origin State,Origin WAC,Destination,Destination City,Destination State,Destination WAC,CRS_DEP_TIME,Departure Time,CRS_ARR_TIME,Arrival Time,Cancelled,Diverted,Distance
1/1/2022 12:00:00 AM,DL,2077,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1530,1527,1605,1600,0.00,0.00,453.00
1/1/2022 12:00:00 AM,DL,2080,OKC,"Oklahoma City, OK",OK,73,ATL,"Atlanta, GA",GA,34,1500,1459,1803,1823,0.00,0.00,761.00
1/1/2022 12:00:00 AM,DL,2081,MCO,"Orlando, FL",FL,33,DTW,"Detroit, MI",MI,43,1415,1501,1652,1727,0.00,0.00,957.00
1/1/2022 12:00:00 AM,DL,2082,DTW,"Detroit, MI",MI,43,MSY,"New Orleans, LA",LA,72,0835,0901,1021,1040,0.00,0.00,926.00
1/1/2022 12:00:00 AM,DL,2083,RSW,"Fort Myers, FL",FL,33,ATL,"Atlanta, GA",GA,34,1840,1834,2037,2005,0.00,0.00,515.00
1/1/2022 12:00:00 AM,DL,2087,GSO,"Greensboro/High Point, NC",NC,36,ATL,"Atlanta, GA",GA,34,0800,0753,0927,0912,0.00,0.00,306.00
1/1/2022 12:00:00 AM,DL,2088,ATL,"Atlanta, GA",GA,34,HOU,"Houston, TX",TX,74,1022,1020,1137,1135,0.00,0.00,696.00
1/1/2022 12:00:00 AM,DL,2088,HOU,"Houston, TX",TX,74,ATL,"Atlanta, GA",GA,34,1232,1226,1531,1515,0.00,0.00,696.00
1/1/2022 12:00:00 AM,DL,2089,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1002,,1154,,1.00,0.00,646.00
1/1/2022 12:00:00 AM,DL,2089,EYW,"Key West, FL",FL,33,ATL,"Atlanta, GA",GA,34,1255,,1454,,1.00,0.00,646.00
1/1/2022 12:00:00 AM,DL,2090,JFK,"New York, NY",NY,22,TPA,"Tampa, FL",FL,33,1825,,2137,,1.00,0.00,1005.00
1/1/2022 12:00:00 AM,DL,2091,ATL,"Atlanta, GA",GA,34,RSW,"Fort Myers, FL",FL,33,2240,2236,0018,0015,0.00,0.00,515.00
1/1/2022 12:00:00 AM,DL,2095,DTW,"Detroit, MI",MI,43,RSW,"Fort Myers, FL",FL,33,1559,,1858,,1.00,0.00,1084.00
1/1/2022 12:00:00 AM,DL,2097,IAH,"Houston, TX",TX,74,SLC,"Salt Lake City, UT",UT,87,1630,1630,1900,1833,0.00,0.00,1195.00
1/1/2022 12:00:00 AM,DL,2100,LGA,"New York, NY",NY,22,MIA,"Miami, FL",FL,33,1055,1055,1417,1352,0.00,0.00,1096.00
1/1/2022 12:00:00 AM,DL,2104,SLC,"Salt Lake City, UT",UT,87,SFO,"San Francisco, CA",CA,91,2110,2149,2229,2243,0.00,0.00,599.00
1/1/2022 12:00:00 AM,DL,2105,BOI,"Boise, ID",ID,83,MSP,"Minneapolis, MN",MN,63,0800,0805,1154,1204,0.00,0.00,1142.00
1/1/2022 12:00:00 AM,DL,2106,CHS,"Charleston, SC",SC,37,ATL,"Atlanta, GA",GA,34,1600,1547,1721,1649,0.00,0.00,259.00
1/1/2022 12:00:00 AM,DL,2108,ATL,"Atlanta, GA",GA,34,CHS,"Charleston, SC",SC,37,1840,1928,1950,2025,0.00,0.00,259.00
1/1/2022 12:00:00 AM,DL,2111,TPA,"Tampa, FL",FL,33,JFK,"New York, NY",NY,22,1906,2029,2152,2306,0.00,0.00,1005.00
1/1/2022 12:00:00 AM,DL,2112,ATL,"Atlanta, GA",GA,34,ECP,"Panama City, FL",FL,33,1745,1742,1749,1743,0.00,0.00,240.00
1/1/2022 12:00:00 AM,DL,2114,SAT,"San Antonio, TX",TX,74,DTW,"Detroit, MI",MI,43,0715,1145,1104,1600,0.00,0.00,1214.00
1/1/2022 12:00:00 AM,DL,2116,TPA,"Tampa, FL",FL,33,LGA,"New York, NY",NY,22,0705,0913,0949,1141,0.00,0.00,1010.00
1/1/2022 12:00:00 AM,DL,2118,DTW,"Detroit, MI",MI,43,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1040,1054,1335,1343,0.00,0.00,1086.00
1/1/2022 12:00:00 AM,DL,2119,ATL,"Atlanta, GA",GA,34,PIT,"Pittsburgh, PA",PA,23,1825,,1956,,1.00,0.00,526.00
1/1/2022 12:00:00 AM,DL,2120,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,1012,1011,1156,1151,0.00,0.00,534.00
1/1/2022 12:00:00 AM,DL,2120,IAD,"Washington, DC",VA,38,ATL,"Atlanta, GA",GA,34,1253,1244,1447,1424,0.00,0.00,534.00
1/1/2022 12:00:00 AM,DL,2121,DTW,"Detroit, MI",MI,43,DFW,"Dallas/Fort Worth, TX",TX,74,2059,2106,2301,2341,0.00,0.00,986.00
1/1/2022 12:00:00 AM,DL,2123,CVG,"Cincinnati, OH",KY,52,RSW,"Fort Myers, FL",FL,33,0805,0802,1035,1021,0.00,0.00,879.00
1/1/2022 12:00:00 AM,DL,2124,DTW,"Detroit, MI",MI,43,SLC,"Salt Lake City, UT",UT,87,1633,1952,1840,2204,0.00,0.00,1481.00
1/1/2022 12:00:00 AM,DL,2125,EWR,"Newark, NJ",NJ,21,ATL,"Atlanta, GA",GA,34,0815,0806,1048,1028,0.00,0.00,746.00
1/1/2022 12:00:00 AM,DL,2127,FLL,"Fort Lauderdale, FL",FL,33,JFK,"New York, NY",NY,22,1542,1546,1843,1831,0.00,0.00,1069.00
1/1/2022 12:00:00 AM,DL,2127,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,1120,1121,1430,1431,0.00,0.00,1069.00
1/1/2022 12:00:00 AM,DL,2129,MIA,"Miami, FL",FL,33,JFK,"New York, NY",NY,22,1129,1643,1433,1937,0.00,0.00,1089.00
1/1/2022 12:00:00 AM,DL,2130,MSP,"Minneapolis, MN",MN,63,PHX,"Phoenix, AZ",AZ,81,1305,1305,1524,1522,0.00,0.00,1276.00
1/1/2022 12:00:00 AM,DL,2131,TPA,"Tampa, FL",FL,33,DTW,"Detroit, MI",MI,43,1107,1104,1347,1337,0.00,0.00,983.00
1/1/2022 12:00:00 AM,DL,2133,LGA,"New York, NY",NY,22,BOS,"Boston, MA",MA,13,1740,,1901,,1.00,0.00,184.00
